availability_id,coach_id,day,period,available,restriction_reason
10,39,FRI,pm,True,
11,39,SAT,am,True,
12,39,SAT,pm,True,
13,39,SUN,am,False,full_day_off
14,39,SUN,pm,False,full_day_off
1,40,MON,am,False,full_day_off
2,40,MON,pm,False,full_day_off
3,40,TUE,am,False,half_day_off
4,40,TUE,pm,True,
5,40,WED,am,True,
6,40,WED,pm,True,
7,40,THU,am,True,
8,40,THU,pm,True,
9,40,FRI,am,True,
10,40,FRI,pm,True,
11,40,SAT,am,True,
12,40,SAT,pm,True,
13,40,SUN,am,True,
14,40,SUN,pm,True,
1,41,MON,am,False,time_restriction
2,41,MON,pm,False,time_restriction
3,41,TUE,am,False,time_restriction
4,41,TUE,pm,False,time_restriction
5,41,WED,am,False,time_restriction
6,41,WED,pm,False,time_restriction
7,41,THU,am,False,time_restriction
8,41,THU,pm,False,time_restriction
9,41,FRI,am,False,time_restriction
10,41,FRI,pm,False,time_restriction
11,41,SAT,am,True,
12,41,SAT,pm,True,
13,41,SUN,am,True,
14,41,SUN,pm,True,
